RefID,Authors,Year,Title,Players exhibit octave?,Notes on octave equivalence,Tuning octaves?,Note name octaves?,Parallel octaves?,Secondary source?,Quantitative Support Presence?,Quantitative Support Absence?,Total measured scales,Frac Present,Frac Absent,Other Notes
1,Hewitt,2013,Musical Scales of the World,,"Too many cultures, too little information",,,,,0,0,0,,,
2,Rechberger,2018,Scales and Modes around the World,,"Too many cultures, too little information",,,,,4,0,57,0.070175438596491,0,
3,Ellis,1885,On the Musical Scales of Various Nations,,"Too many cultures, too little information",,,,,1,0,29,0.03448275862069,0,
4,Wachsmann,1950,An equal-stepped tuning in a ganda harp,Yes,"It is noted that multiple strings are supposed to be an octave apart, and that 'good octaves are the hallmark of the efficient tuner'",Yes,,,,0,0,2,0,0,Equidistance in tuning comes from matching the interval sizes between strings - it seems to be intended
5,Kubik,1964,Harp music of the azande and related peoples in the Central African Republic,Yes,'Contrary movement from unison into octave and the reverse is a frequent practice in Azande harp music',,Yes,,,1,0,5,,,'Each player seems to tune his instrument to fit best the range of his voice and that of the choir'
6,Brandel,1967,The music of Central Africa,Yes,'If men and women sing together the result is generally in parallel octaves',,,Yes,,2,0,16,0.125,0,
7,Kunst,1967,Music in New Guinea,No,'Seldom does the interval go beyond one full tone and rarely does the compass of a song contain more than one octave.',No,No,No,,1,0,11,0.090909090909091,0,
8,"Rouget, Schwarz",1969,Sur les xylophones equiheptaphoniques de malink,No,The author measured the tuning of instruments and remarks that the tuning conforms to a heptatonic scale such that notes are an octave apart; no mention is made of the original performers.,,,,,2,0,3,0.666666666666667,0,
9,Tracey,1970,The matepe mbira music of rhodesia,Yes,Makes reference to 'octave transpositions+IBkAOw- 'all seven index reeds are often played in octave unison',,,Yes,,1,0,2,0.5,0,
10,Tracey,1971,The nyanga panpipe dance,No,,No,,,,0,0,2,0,0,"'In common with other reedpipe dances that have been described, the maker does not tune according to an abstracted scale. He does not tune each note in turn up or down the scale, and he does not specifically tune together the same notes on different panpipes, or check octaves or fifths. The only method seems to be to play the actual music that belongs to it, on a set that is to be tuned, and see if it fits with what is expected. Then two different panpipes of a similar pitch range are tested together, and so on through the set. For testing any particular panpipe, the one most often chosen to play against it is the one that stands next to it during the dance.'"
11,Knight,1976,Kora music from the gambia,No,No mention of the octave,,,,,0,0,4,0,0,
12,"Surjodiningrat, Susanto, Sudarjana",1972,Tone Measurements of Outstanding Javanese Gamelans in Jogjakarta and Surakarta,No,"Authors mention that they expected notes to be separated by octaves, and note that this is often the case. However, what is described as 'octave deviations' are found to be as great as 63 cents.",,,,Yes,0,0,51,0,0,
13,"Morton, Duriyanga",1976,The Traditional Music of Thailand,Yes,Mentions methods of playing simultaneous octaves: 'kro' and 'kep'.,,,Yes,Yes,3,0,4,0.75,0,
14,Haeberli,1979,Twelve nasca panpipes: A study,No,It is not know whether overblown harmonics were used by the original players.,,,,,0,0,9,0,0,
