RefID,bibexID
1,hew13
2,rec18
3,ell85
4,wacna50
5,kubam64
6,bra67
7,kun67
8,rousf69
9,traam70
10,traam71
11,kni76
12,sur72
13,mor76
14,haee79
15,kubam80
16,vanam80
17,zeme81
18,anija82
19,hoam82
20,kubam84
21,kubyt85
22,got85
23,yuapp87
24,keemp91
25,traam91
26,carja93
27,sche01
28,attpi04
29,zhaa04
30,set05
31,mcnja08
32,str09
33,kus10
34,garan15
35,wis15
36,moric18
37,bad19
38,kim76
39,nammp98
40,weiae13
41,ambwm05
42,ambms06
43,cooyi71
44,garam75
45,jonet66
46,jonam60
47,kubam62
48,kubam63
49,kubwm92
50,thram78
51,min90
52,sunst69
53,copef18
54,mil85
55,sch20
56,mzhmu20
57,mokna37
58,tan11
59,men12
60,panjn13
