,1 G,2 A,3 H,4 c,5 cis,6 d,7 es
,(G2),(A2),(B2),(C3),(C#3),(D3),(Eb3)
1 G (G2),0,,,,,,
2 A (A2),198.6,0,,,,,
3 H (B2),385.5,188.9,0,,,,
4 c (C3),489.7,293.1,104.2,0,,,
5 cis (C#3),581.6,385,196.1,91.9,0,,
6 d (D3),703,506.35,317.45,213.25,121.4,0,
7 es (Eb3),776.9,580.23,391.34,287.12,195.25,73.9,0
8 e (E3),897.3,700.63,511.7,407.5,315.64,194.27,120.4
9 f (F3),988.1,791.42,602.5,498.32,406.44,285.1,211.2
10 fis (F#3),1080,883.3,694.4,590.2,498.31,376.95,303.1
11 g (G3),1186.9,990.2,801.3,697.1,605.2,483.83,409.9
12 gis (G#3),1306.4,1107.8,918.9,814.7,722.8,601.42,527.5
13 a (A3),1389.26,1190.66,1001.75,897.56,805.68,684.31,610.4
14 b (Bb3),1513.26,1314.66,1125.75,1021.56,929.68,808.31,734.4
15 h (B3),1580.66,1382.1,1193.15,1088.96,997.08,875.71,801.8
16 c′ (C4),1698.76,1500.2,1311.4,1207.06,1115.18,993.81,919.9
17 cis′ (C#4),1783.76,1585,1396.2,1291.86,1199.98,1078.73,1004
18 d′ (D4),1907.26,1708.5,1519.7,1415.36,1322.48,1202.23,1128
19 es′ (Eb4),1975.76,1777,1588.2,1483.86,1390.98,1270.73,1196
20 e′ (E4),2078.86,1880.1,1691.3,1586.96,1498.08,1373.83,1299
21 f′ (F4),2197.06,1998.3,1809.5,1705.16,1612.28,1492.03,1418
22 fis′ (F#4),2275.76,2077,1888.2,1783.86,1690.98,1570.73,1496
23 g′ (G4),2398.86,2200.1,2011.3,1906.96,1814.08,1693.83,1619
24 gis′(G#4),2498.26,2299.5,2114.3,2006.36,1913.48,1793.23,1719
25 a′ (A4),2597.86,2399.1,2213.9,2105.96,2013.08,1892.83,1818
26 b′ (Bb4),2702.06,2503.3,2318.1,2210.16,2117.28,1997.03,1923
